Brite_1	Brite_2	Pathway_id	Pathway_name	
Drug Development	Chronology: Other drugs	7038	Antiulcer drugs	
Drug Development	Chronology: Other drugs	7046	Immunosuppressive agents	
Drug Development	Chronology: Other drugs	7047	Osteoporosis drugs	
Drug Development	Chronology: Other drugs	7048	Antimigraines	
Drug Development	Chronology: Other drugs	7049	Antithrombosis agents	
Drug Development	Chronology: Other drugs	7050	Antirheumatics - DMARDs and biological agents	
Drug Development	Chronology: Other drugs	7051	Antidiabetics	
Drug Development	Chronology: Other drugs	7052	Antidyslipidemic agents	
Drug Development	Chronology: Other drugs	7054	Antiglaucoma agents	
Drug Development	Target-based classification: G protein-coupled receptors	7220	Cholinergic and anticholinergic drugs	
Drug Development	Target-based classification: G protein-coupled receptors	7215	alpha-Adrenergic receptor agonists/antagonists	
Drug Development	Target-based classification: G protein-coupled receptors	7214	beta-Adrenergic receptor agonists/antagonists	
Drug Development	Target-based classification: G protein-coupled receptors	7213	Dopamine receptor agonists/antagonists	
Drug Development	Target-based classification: G protein-coupled receptors	7212	Histamine H1 receptor antagonists	
Drug Development	Target-based classification: G protein-coupled receptors	7227	Histamine H2/H3 receptor agonists/antagonists	
Drug Development	Target-based classification: G protein-coupled receptors	7211	Serotonin receptor agonists/antagonists	
Drug Development	Target-based classification: G protein-coupled receptors	7228	Eicosanoid receptor agonists/antagonists	
Drug Development	Target-based classification: G protein-coupled receptors	7224	Opioid receptor agonists/antagonists	
Drug Development	Target-based classification: G protein-coupled receptors	7229	Angiotensin receptor and endothelin receptor antagonists	
Drug Development	Target-based classification: Nuclear receptors	7225	Glucocorticoid and mineralocorticoid receptor agonists/antagonists	
Drug Development	Target-based classification: Nuclear receptors	7226	Progesterone, androgen and estrogen receptor agonists/antagonists	
Drug Development	Target-based classification: Nuclear receptors	7223	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists	
Drug Development	Target-based classification: Nuclear receptors	7222	Peroxisome proliferator-activated receptor (PPAR) agonists	
Drug Development	Target-based classification: Ion channels	7221	Nicotinic cholinergic receptor antagonists	
Drug Development	Target-based classification: Ion channels	7230	GABA-A receptor agonists/antagonists	
Drug Development	Target-based classification: Ion channels	7036	Calcium channel blocking drugs	
Drug Development	Target-based classification: Ion channels	7231	Sodium channel blocking drugs	
Drug Development	Target-based classification: Ion channels	7232	Potassium channel blocking and opening drugs	
Drug Development	Target-based classification: Ion channels	7235	N-Metyl-D-aspartic acid receptor antagonists	
Drug Development	Target-based classification: Transporters	7233	Ion transporter inhibitors	
Drug Development	Target-based classification: Transporters	7234	Neurotransmitter transporter inhibitors	
Drug Development	Target-based classification: Enzymes	7216	Catecholamine transferase inhibitors	
Drug Development	Target-based classification: Enzymes	7219	Cyclooxygenase inhibitors	
Drug Development	Target-based classification: Enzymes	7024	HMG-CoA reductase inhibitors	
Drug Development	Target-based classification: Enzymes	7217	Renin-angiotensin system inhibitors	
Drug Development	Target-based classification: Enzymes	7218	HIV protease inhibitors	
Drug Development	Structure-based classification	7025	Quinolines	
Drug Development	Structure-based classification	7034	Eicosanoids	
Drug Development	Structure-based classification	7035	Prostaglandins	
Drug Development	Skeleton-based classification	7110	Benzoic acid family	
Drug Development	Skeleton-based classification	7112	1,2-Diphenyl substitution family2-Diphenyl substitution family	
Drug Development	Skeleton-based classification	7114	Naphthalene family	
Drug Development	Skeleton-based classification	7117	Benzodiazepine family	
