Sample	Gene	Hits
CD1_T1_B1	MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA	306
CD1_T1_B1	MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA	90
CD1_T1_B1	MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA	118
CD1_T1_B1	MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER	133
CD1_T1_B1	MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES	141
CD1_T1_B1	MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR	103
CD1_T1_B1	MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR	113
CD1_T1_B1	MEG_1276|Drugs|betalactams|Class_C_betalactamases|BLAEC	157
CD1_T1_B1	MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC	60
CD1_T1_B1	MEG_1576|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA	17
CD1_T1_B1	MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA	18
CD1_T1_B1	MEG_1637|Drugs|betalactams|Class_A_betalactamases|CBLA	13
CD1_T1_B1	MEG_1686|Drugs|betalactams|Class_A_betalactamases|CFX	83
CD1_T1_B1	MEG_1689|Drugs|betalactams|Class_A_betalactamases|CFX	34
CD1_T1_B1	MEG_1694|Drugs|betalactams|Class_A_betalactamases|CFX	63
CD1_T1_B1	MEG_1695|Drugs|betalactams|Class_A_betalactamases|CFX	91
CD1_T1_B1	MEG_1696|Drugs|betalactams|Class_A_betalactamases|CFX	65
CD1_T1_B1	MEG_1697|Drugs|betalactams|Class_A_betalactamases|CFX	22
CD1_T1_B1	MEG_1698|Drugs|betalactams|Class_A_betalactamases|CFX	95
CD1_T1_B1	MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	69
CD1_T1_B1	MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	215
CD1_T1_B1	MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	320
CD1_T1_B1	MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	112
CD1_T1_B1	MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP	145
CD1_T1_B1	MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA	217
CD1_T1_B1	MEG_2724|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB	92
CD1_T1_B1	MEG_2725|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB	172
CD1_T1_B1	MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD	146
CD1_T1_B1	MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD	126
CD1_T1_B1	MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK	98
CD1_T1_B1	MEG_2733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK	73
CD1_T1_B1	MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR	132
CD1_T1_B1	MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY	142
CD1_T1_B1	MEG_2737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY	83
CD1_T1_B1	MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA	420
CD1_T1_B1	MEG_2789|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	44
CD1_T1_B1	MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	46
CD1_T1_B1	MEG_2796|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	14
CD1_T1_B1	MEG_2804|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	11
CD1_T1_B1	MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	7
CD1_T1_B1	MEG_2806|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	10
CD1_T1_B1	MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	50
CD1_T1_B1	MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	365
CD1_T1_B1	MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG	4
CD1_T1_B1	MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG	109
CD1_T1_B1	MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS	616
CD1_T1_B1	MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW	99
CD1_T1_B1	MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX	116
CD1_T1_B1	MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS	63
CD1_T1_B1	MEG_3295|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES	133
CD1_T1_B1	MEG_3448|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE	127
CD1_T1_B1	MEG_3513|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN	157
CD1_T1_B1	MEG_352|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	14
CD1_T1_B1	MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA	216
CD1_T1_B1	MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC	7
CD1_T1_B1	MEG_364|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	39
CD1_T1_B1	MEG_3661|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA	19
CD1_T1_B1	MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA	32
CD1_T1_B1	MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR	60
CD1_T1_B1	MEG_3737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA	88
CD1_T1_B1	MEG_3738|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA	91
CD1_T1_B1	MEG_3746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA	258
CD1_T1_B1	MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB	797
CD1_T1_B1	MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC	857
CD1_T1_B1	MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE	343
CD1_T1_B1	MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF	661
CD1_T1_B1	MEG_3753|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG	138
CD1_T1_B1	MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH	152
CD1_T1_B1	MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI	27
CD1_T1_B1	MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ	27
CD1_T1_B1	MEG_3758|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK	90
CD1_T1_B1	MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK	122
CD1_T1_B1	MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM	104
CD1_T1_B1	MEG_3762|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM	67
CD1_T1_B1	MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN	230
CD1_T1_B1	MEG_3764|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO	445
CD1_T1_B1	MEG_3765|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP	404
CD1_T1_B1	MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	91
CD1_T1_B1	MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE	564
CD1_T1_B1	MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA	342
CD1_T1_B1	MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB	959
CD1_T1_B1	MEG_4033|Drugs|MLS|Macrolide_phosphotransferases|MPHB	61
CD1_T1_B1	MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA	385
CD1_T1_B1	MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD	301
CD1_T1_B1	MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD	433
CD1_T1_B1	MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE	339
CD1_T1_B1	MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF	651
CD1_T1_B1	MEG_4103|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC	47
CD1_T1_B1	MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF	462
CD1_T1_B1	MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS	153
CD1_T1_B1	MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2	475
CD1_T1_B1	MEG_5409|Drugs|betalactams|Penicillin_binding_protein|PBP4B	153
CD1_T1_B1	MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF	252
CD1_T1_B1	MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA	248
CD1_T1_B1	MEG_6551|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS	43
CD1_T1_B1	MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32	201
CD1_T1_B1	MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32	124
CD1_T1_B1	MEG_7149|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	61
CD1_T1_B1	MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	83
CD1_T1_B1	MEG_7156|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	57
CD1_T1_B1	MEG_7157|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	51
CD1_T1_B1	MEG_7158|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	73
CD1_T1_B1	MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	96
CD1_T1_B1	MEG_7161|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	45
CD1_T1_B1	MEG_7162|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	64
CD1_T1_B1	MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	304
CD1_T1_B1	MEG_7165|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	219
CD1_T1_B1	MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	79
CD1_T1_B1	MEG_7169|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	47
CD1_T1_B1	MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	718
CD1_T1_B1	MEG_7179|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	98
CD1_T1_B1	MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	212
CD1_T1_B1	MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	2132
CD1_T1_B1	MEG_7212|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	100
CD1_T1_B1	MEG_7213|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	176
CD1_T1_B1	MEG_7214|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	127
CD1_T1_B1	MEG_7215|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	109
CD1_T1_B1	MEG_7216|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	143
CD1_T1_B1	MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	192
CD1_T1_B1	MEG_7219|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	163
CD1_T1_B1	MEG_7220|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	172
CD1_T1_B1	MEG_7221|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	156
CD1_T1_B1	MEG_7222|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	152
CD1_T1_B1	MEG_7223|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	222
CD1_T1_B1	MEG_7224|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	133
CD1_T1_B1	MEG_7225|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	79
CD1_T1_B1	MEG_7227|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	216
CD1_T1_B1	MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	260
CD1_T1_B1	MEG_7230|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	117
CD1_T1_B1	MEG_7231|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	184
CD1_T1_B1	MEG_7233|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	202
CD1_T1_B1	MEG_729|Drugs|betalactams|Penicillin_binding_protein|AMPH	272
CD1_T1_B1	MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD	120
CD1_T1_B1	MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	19
CD1_T1_B1	MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI	425
CD1_T1_B1	MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	73
CD1_T1_B1	MEG_998|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	365
CD1_T2_B1	MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA	25
CD1_T2_B1	MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA	9
CD1_T2_B1	MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES	16
CD1_T2_B1	MEG_1276|Drugs|betalactams|Class_C_betalactamases|BLAEC	15
CD1_T2_B1	MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	26
CD1_T2_B1	MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP	14
CD1_T2_B1	MEG_2578|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRF	4
CD1_T2_B1	MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA	13
CD1_T2_B1	MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD	11
CD1_T2_B1	MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR	10
CD1_T2_B1	MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA	37
CD1_T2_B1	MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG	13
CD1_T2_B1	MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS	88
CD1_T2_B1	MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW	12
CD1_T2_B1	MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX	10
CD1_T2_B1	MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS	6
CD1_T2_B1	MEG_3448|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE	12
CD1_T2_B1	MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA	16
CD1_T2_B1	MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC	4
CD1_T2_B1	MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR	8
CD1_T2_B1	MEG_3737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA	13
CD1_T2_B1	MEG_3746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA	15
CD1_T2_B1	MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB	51
CD1_T2_B1	MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC	53
CD1_T2_B1	MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE	20
CD1_T2_B1	MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF	57
CD1_T2_B1	MEG_3753|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG	19
CD1_T2_B1	MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH	29
CD1_T2_B1	MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI	6
CD1_T2_B1	MEG_3762|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM	13
CD1_T2_B1	MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN	21
CD1_T2_B1	MEG_3764|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO	45
CD1_T2_B1	MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE	70
CD1_T2_B1	MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA	25
CD1_T2_B1	MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB	68
CD1_T2_B1	MEG_4033|Drugs|MLS|Macrolide_phosphotransferases|MPHB	7
CD1_T2_B1	MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE	18
CD1_T2_B1	MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS	14
CD1_T2_B1	MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2	40
CD1_T2_B1	MEG_5409|Drugs|betalactams|Penicillin_binding_protein|PBP4B	29
CD1_T2_B1	MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF	16
CD1_T2_B1	MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA	29
CD1_T2_B1	MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32	39
CD1_T2_B1	MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	25
CD1_T2_B1	MEG_7165|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	75
CD1_T2_B1	MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	33
CD1_T2_B1	MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	79
CD1_T2_B1	MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	165
CD1_T2_B1	MEG_7213|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	33
CD1_T2_B1	MEG_7215|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	34
CD1_T2_B1	MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	34
CD1_T2_B1	MEG_7220|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	36
CD1_T2_B1	MEG_7221|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	55
CD1_T2_B1	MEG_7222|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	25
CD1_T2_B1	MEG_7224|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	33
CD1_T2_B1	MEG_7227|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	35
CD1_T2_B1	MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	72
CD1_T2_B1	MEG_7230|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	29
CD1_T2_B1	MEG_729|Drugs|betalactams|Penicillin_binding_protein|AMPH	16
CD1_T2_B1	MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI	25
CD1_T2_B1	MEG_998|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	27
CD16_T1_B3	MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9	56
CD16_T1_B3	MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA	62
CD16_T1_B3	MEG_1633|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATS	10
CD16_T1_B3	MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA	94
CD16_T1_B3	MEG_1637|Drugs|betalactams|Class_A_betalactamases|CBLA	62
CD16_T1_B3	MEG_1680|Drugs|MLS|23S_rRNA_methyltransferases|CFR	201
CD16_T1_B3	MEG_1686|Drugs|betalactams|Class_A_betalactamases|CFX	866
CD16_T1_B3	MEG_1689|Drugs|betalactams|Class_A_betalactamases|CFX	65
CD16_T1_B3	MEG_1690|Drugs|betalactams|Class_A_betalactamases|CFX	119
CD16_T1_B3	MEG_1692|Drugs|betalactams|Class_A_betalactamases|CFX	262
CD16_T1_B3	MEG_1693|Drugs|betalactams|Class_A_betalactamases|CFX	66
CD16_T1_B3	MEG_1694|Drugs|betalactams|Class_A_betalactamases|CFX	87
CD16_T1_B3	MEG_1695|Drugs|betalactams|Class_A_betalactamases|CFX	1094
CD16_T1_B3	MEG_1697|Drugs|betalactams|Class_A_betalactamases|CFX	42
CD16_T1_B3	MEG_1698|Drugs|betalactams|Class_A_betalactamases|CFX	81
CD16_T1_B3	MEG_2578|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRF	934
CD16_T1_B3	MEG_2789|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	79
CD16_T1_B3	MEG_2793|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	20
CD16_T1_B3	MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	101
CD16_T1_B3	MEG_2801|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	58
CD16_T1_B3	MEG_2803|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	19
CD16_T1_B3	MEG_2804|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	42
CD16_T1_B3	MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	32
CD16_T1_B3	MEG_2806|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	19
CD16_T1_B3	MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	2824
CD16_T1_B3	MEG_2831|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	1461
CD16_T1_B3	MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	2538
CD16_T1_B3	MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG	18
CD16_T1_B3	MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG	83
CD16_T1_B3	MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC	13
CD16_T1_B3	MEG_364|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	23
CD16_T1_B3	MEG_368|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	10
CD16_T1_B3	MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	260
CD16_T1_B3	MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE	46
CD16_T1_B3	MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD	204
CD16_T1_B3	MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32	547
CD16_T1_B3	MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40	224
CD16_T1_B3	MEG_6992|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40	123
CD16_T1_B3	MEG_6993|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40	162
