# Gene Family	CD16_T1_B3_Abundance-RPKs	CD16_T2_B3_Abundance-RPKs	CD16_T3_B3_Abundance-RPKs	CD17_T1_B7_Abundance-RPKs	CD17_T3_B7_Abundance-RPKs	CD17_T4_B7_Abundance-RPKs	CD1_T1_B1_Abundance-RPKs	CD1_T2_B1_Abundance-RPKs	CD27_T1_B7_Abundance-RPKs	CD27_T2_B7_Abundance-RPKs	CD27_T3_B7_Abundance-RPKs	CD28_T1_B7_Abundance-RPKs	CD28_T2_B7_Abundance-RPKs	CD28_T4_B7_Abundance-RPKs	CD35_T1_B7_Abundance-RPKs	CD35_T2_B7_Abundance-RPKs	CD35_T3_B7_Abundance-RPKs	CD35_T4_B7_Abundance-RPKs	CD38_T1_B7_Abundance-RPKs	CD38_T2_B7_Abundance-RPKs	CD38_T3_B7_Abundance-RPKs	CD38_T4_B7_Abundance-RPKs	CD38_T5_B7_Abundance-RPKs	CD5_T1_B2_Abundance-RPKs	CD5_T1_B6_Abundance-RPKs	CD5_T2_B2_Abundance-RPKs	CD5_T2_B6_Abundance-RPKs	CD5_T3_B2_Abundance-RPKs	CD5_T3_B6_Abundance-RPKs	DONOR10_T1_B8_Abundance-RPKs	DONOR2_T1_B1_Abundance-RPKs	DONOR2_T1_B4_Abundance-RPKs	DONOR2_T2_B2_Abundance-RPKs	DONOR3_T1_B1_Abundance-RPKs	DONOR3_T2_B2_Abundance-RPKs	DONOR3_T3_B6_Abundance-RPKs	DONOR7_T1_B8_Abundance-RPKs	DONOR7_T2_B8_Abundance-RPKs	IBS2_T1_B1_Abundance-RPKs	IBS2_T2_B1_Abundance-RPKs	IBS2_T3_B1_Abundance-RPKs	IBS2_T5_B2_Abundance-RPKs	IBS6_T1_B2_Abundance-RPKs	IBS6_T2_B2_Abundance-RPKs	IBS6_T3_B2_Abundance-RPKs	IBS6_T4_B2_Abundance-RPKs	IBS9_T1_B2_Abundance-RPKs	IBS9_T2_B2_Abundance-RPKs	IBS9_T3_B2_Abundance-RPKs	SFM028_T1_B1_Abundance-RPKs	SFM034_T1_B3_Abundance-RPKs	SFM034_T2_B3_Abundance-RPKs	SFM034_T3_B3_Abundance-RPKs	SFM034_T4_B3_Abundance-RPKs	SFM035_T1_B3_Abundance-RPKs	SFM035_T2_B3_Abundance-RPKs	SFM035_T3_B3_Abundance-RPKs	SFM035_T4_B3_Abundance-RPKs	SFM036_T1_B3_Abundance-RPKs	SFM036_T2_B3_Abundance-RPKs	SFM036_T3_B3_Abundance-RPKs	SFM036_T4_B3_Abundance-RPKs	SFM037_T1_B3_Abundance-RPKs	SFM037_T2_B3_Abundance-RPKs	SFM037_T3_B3_Abundance-RPKs	SFM037_T4_B3_Abundance-RPKs	SFM038_T1_B3_Abundance-RPKs	SFM038_T2_B3_Abundance-RPKs	SFM038_T3_B3_Abundance-RPKs	SFM038_T4_B3_Abundance-RPKs	SPORT12_T1_B8_Abundance-RPKs	SPORT17_T1_B3_Abundance-RPKs	SPORT4_T1_B8_Abundance-RPKs	UC15_T1_B3_Abundance-RPKs	UC15_T2_B3_Abundance-RPKs	UC15_T3_B3_Abundance-RPKs	UC15_T4_B3_Abundance-RPKs	UC15_T5_B5_Abundance-RPKs	UC22_T1_B6_Abundance-RPKs	UC22_T2_B6_Abundance-RPKs	UC22_T3_B6_Abundance-RPKs	UC22_T4_B6_Abundance-RPKs	UC22_T5_B6_Abundance-RPKs	UC33_T1_B7_Abundance-RPKs	UC33_T2_B7_Abundance-RPKs	UC33_T3_B7_Abundance-RPKs	UC33_T4_B7_Abundance-RPKs	UC36_T1_B7_Abundance-RPKs	UC36_T2_B7_Abundance-RPKs	UC36_T3_B7_Abundance-RPKs	UC36_T4_B7_Abundance-RPKs	UC36_T5_B7_Abundance-RPKs	UC3_T1_B1_Abundance-RPKs	UC3_T3_B1_Abundance-RPKs	UC3_T3_B4_Abundance-RPKs	UC3_T5_B5_Abundance-RPKs	UC7_T1_B2_Abundance-RPKs	UC7_T1_B6_Abundance-RPKs	UC7_T2_B2_Abundance-RPKs	UC7_T2_B6_Abundance-RPKs	UC7_T3_B2_Abundance-RPKs	UC7_T3_B6_Abundance-RPKs	UC8_T1_B2_Abundance-RPKs	UC8_T1_B5_Abundance-RPKs	UC8_T2_B2_Abundance-RPKs	UC8_T2_B4_Abundance-RPKs	UC8_T3_B2_Abundance-RPKs	UC8_T3_B4_Abundance-RPKs
UNMAPPED	33567099.0000000000	35325334.0000000000	35126160.0000000000	8391144.0000000000	7011053.0000000000	10130684.0000000000	22326119.0000000000	3221876.0000000000	8157257.0000000000	8921511.0000000000	9023177.0000000000	6615022.0000000000	7203295.0000000000	9321742.0000000000	16807363.0000000000	8776861.0000000000	209087.0000000000	9236449.0000000000	4969783.0000000000	3917015.0000000000	363.0000000000	4249278.0000000000	2756214.0000000000	12920979.0000000000	3615170.0000000000	16829296.0000000000	17563099.0000000000	9910060.0000000000	21402365.0000000000	17420952.0000000000	2043017.0000000000	32254833.0000000000	19350375.0000000000	45419850.0000000000	27961166.0000000000	23048976.0000000000	17831847.0000000000	18250680.0000000000	7075600.0000000000	6088650.0000000000	33773595.0000000000	25166932.0000000000	21184023.0000000000	16218533.0000000000	24836219.0000000000	25254685.0000000000	26429454.0000000000	25244308.0000000000	29145419.0000000000	9204835.0000000000	16896344.0000000000	14503045.0000000000	12615892.0000000000	13156000.0000000000	14512194.0000000000	12177949.0000000000	17544447.0000000000	14514741.0000000000	12687249.0000000000	13976846.0000000000	15109499.0000000000	15752206.0000000000	20971664.0000000000	14271037.0000000000	13854805.0000000000	11917650.0000000000	13327979.0000000000	13913979.0000000000	13657702.0000000000	28493022.0000000000	15262465.0000000000	41442270.0000000000	14893774.0000000000	1987418.0000000000	3158902.0000000000	14099840.0000000000	33776250.0000000000	20218601.0000000000	2631691.0000000000	4585911.0000000000	7937448.0000000000	17331541.0000000000	19122688.0000000000	1423629.0000000000	8430308.0000000000	5365506.0000000000	6619964.0000000000	8407692.0000000000	8700277.0000000000	8434974.0000000000	9087224.0000000000	37131.0000000000	6439499.0000000000	4150194.0000000000	29568505.0000000000	17510771.0000000000	2830689.0000000000	1264319.0000000000	5815488.0000000000	3232027.0000000000	2140750.0000000000	684683.0000000000	15135942.0000000000	7724190.0000000000	13617051.0000000000	12111042.0000000000	21741471.0000000000	23900069.0000000000
K00001	769.9353169294	675.5503985857	678.9421197437	119.0548995285	67.6033172342	219.1486013910	368.6785284743	37.9448579612	834.3690055477	482.5408880832	344.3275270661	356.9814654782	329.9849564859	133.1207629420	426.7558027722	276.4212810668	0	143.8477339503	197.4526763125	746.7914422541	0	151.6686786232	33.6832934229	510.3613123302	182.3063554740	396.6272642856	507.7978298296	185.6535693453	485.3831126076	293.2599964680	13.4450948718	335.2925044345	119.4556758910	30.1572039896	1063.7804602862	596.6923061063	396.7770855960	271.0539743611	140.0743793419	102.5068790911	193.3120497140	363.9027750249	626.4652424881	1196.5501222074	585.4757609893	698.1740270123	1143.5236494281	1450.8538704633	1342.6143028947	249.0687299044	301.0673963727	147.5628073341	107.6166254612	145.6569373794	163.4375940640	123.6820603151	242.1825179308	169.4294151821	459.9284714110	315.4269563435	55.3354299278	217.5962708900	874.7872809512	419.2582081700	172.0554437146	232.5427741051	167.8819520066	230.7844967680	251.7013903170	311.3365601587	173.6348929472	1164.7101935202	441.9294408760	14.0570482234	19.3667966185	508.7249036444	1040.6753589546	312.3791939502	37.6545798881	95.8233821636	200.9917525619	1060.3361858443	1084.1340359529	13.4156432947	48.6653623130	44.4393363341	105.0051079736	388.3534331409	353.9547602812	57.1574067729	165.5322448855	0	307.3082404375	49.2086096310	461.9855737450	395.8978272617	0	0	23.4421315191	14.1931685259	0	0	797.7229532205	325.5436267990	765.6410529166	750.6448580724	539.9370695151	718.5309097615
K00002	147.2941599812	185.8824437048	102.2151440114	14.2972227345	35.3528758656	32.1058986114	36.9855498899	4.3627078332	8.3420229406	5.1954800257	50.9805569223	0	21.8589076552	75.9000369639	10.4152723598	0	0	21.8768906306	0	0	0	0	0	0	0	66.4180074526	86.3111307115	24.9276298616	48.8804464703	115.9323010145	41.1142710735	278.9614468082	155.8513860774	5.3555705812	72.8248404706	66.6203785607	110.2749104490	253.8618902229	37.0041714550	87.9484950382	40.2387138164	447.9574236549	77.7916583860	55.9931958020	72.5800673988	57.7299240820	196.3078182753	38.4527855163	47.8540051919	8.6849182810	223.1387727784	74.0596593926	101.2531812326	56.5227754597	57.5336865332	64.1509922429	68.4538422670	79.4363855418	78.1814975573	87.1341073777	352.4841561474	206.8187061576	183.6880594648	165.3414658586	322.0834623904	63.1269546086	26.0899202515	27.2092141184	15.1678808121	48.8694286148	31.9217826444	128.3310688509	65.1012266401	0	0	25.0626410247	277.8759492255	151.0768726648	0	0	35.2828576952	199.8599837100	527.8309575175	0	0	0	0	22.9172307347	8.3369780926	38.4702129692	28.1132588986	0	0	9.7759622866	49.9570433680	242.8362159603	0	0	0	0	0	0	31.2161531289	33.5995260883	53.0799548993	52.1009402647	67.6012223258	82.2941395212
K00003	1561.0556946394	1247.7313794195	1847.7262469564	354.5008150446	194.2872836503	921.8986628379	1194.4908470918	305.6590669858	1968.8548146186	1673.5044579025	1012.7200314719	456.3638483262	865.4662297933	422.4890701661	1628.7784306149	696.9754688950	0	749.9980818900	473.8600192852	823.3768070238	0	355.6423227725	125.3368954080	2262.3535037028	753.1625372897	1133.2684236866	1424.2211049746	1628.7754911222	4304.2523158806	1209.1148311557	168.4241525033	3557.4062152358	1356.7550208343	302.2244269350	1532.1215941348	1117.7280283912	1484.1298766406	3185.0795367792	325.1188686041	553.4126046523	642.3273418282	2792.4637472092	595.5860215573	1228.0969092574	2340.6766015272	1482.4576538038	2487.0828579925	2194.7943086191	2472.3482188002	353.0795695587	1594.1686535634	1121.4670605274	1178.6961802843	971.0533457026	826.3934491812	735.7420229306	698.8697419680	1157.5656871714	842.8507390207	1291.3454479590	1738.6825835248	1439.6304861364	1753.6676075087	912.6163926731	1110.6513702378	647.9140918379	432.3565285535	469.5218517312	568.3549355033	953.1870092383	255.5617774096	2827.5695949793	1155.1057680535	58.0440433757	153.9466800418	1005.5171421847	1964.1233299199	1300.6270031355	101.0335603232	123.3703957863	693.5361566453	1120.7731013790	2839.1095066351	49.3176613664	331.5714760207	200.7303248027	826.5090816188	669.6698854421	1131.9627346165	549.7103835680	541.0567488059	0	176.5122409652	256.7967742694	2068.5854489088	4252.7405750942	0	0	49.6237298719	57.2336441307	0	0	931.2382716620	358.7282138490	723.1594969450	673.4330493163	1885.9466857954	2213.1403735819
K00004	7.8258807156	0	0	0	0	0	0	0	679.2183516249	304.4226112900	37.9648350166	0	0	0	0	5.6064046831	0	0	0	0	0	7.9926566516	0	259.9235270514	68.9326456667	0	0	0	7.1847802880	0	1.1041104720	32.3047582424	29.2862172893	5.2148344728	16.8368694245	4.9950541997	9.3899085773	14.5002050478	9.3830001316	0	9.3896499813	25.7851242375	0	5.0063071614	4.8287316636	3.2310283671	98.5704417399	18.8487852692	112.1085656027	0	0	0	0	0	0	5.6674379061	7.7551318223	4.0296452450	0	0	13.4101096145	5.6997531046	59.7042411164	6.2517378986	19.6734444544	7.2949125180	0	6.7746060180	1.1000762702	8.1062439011	0	4.0072780849	0	0	0	73.8093925915	119.3983907689	36.3301541813	0	0	0	0	12.7225191088	0	0	0	5.9914660405	0	4.6286025323	0	9.7330151788	0	10.3507904190	0	22.5762760099	10.9308041875	0	0	0	0	0	0	0	0	0	0	24.8977909039	34.8890751185
K00005	225.5179563894	194.6483050467	208.4248539460	173.9908938339	930.4191090285	203.0861835662	413.3451070945	71.7381709308	640.1865618281	805.2330546801	318.4739601183	17.0278754398	54.5791637410	144.3541799394	591.6780005169	299.4297859685	0	116.9434056445	0	16.7625499264	0	149.6560386776	29.2638188757	3393.6036882668	964.4320744150	822.8951279739	870.9342252456	48.3183659412	148.2586882736	350.9764301058	18.7748914668	409.8799272386	178.1016352983	33.3307927658	80.8421731943	142.9034774862	502.5491430305	449.3494378401	94.8997742898	145.4514054989	107.9926205748	343.4773015106	283.4174188150	239.9623562518	620.9950718224	230.4128981382	1736.8064702970	1442.8614551002	297.6958286699	105.1078117343	130.3613390350	92.3136095336	104.2905381225	53.3258296326	214.4288573338	246.7559394183	340.4983781455	306.9088008910	161.4429040675	196.5107497464	205.1535694449	361.7702340804	212.1803137070	111.4352822659	124.4154451348	79.2221161449	46.3703992982	87.3938222866	75.7243030065	85.7030766442	46.1023297455	1105.7343543366	395.5740719188	47.3986483851	52.4817535033	331.5693030296	229.9424417478	241.2015771645	9.4896482600	0	44.2796607176	68.6445854790	230.6983378111	19.8960961781	93.1863559966	35.6175327601	591.7211843251	191.8970610676	546.1818766147	249.7805891718	54.0346698974	0	80.5300471450	59.6955960272	299.7946641305	1085.7366673125	12.2486554684	8.4519623486	61.2974942415	55.4922678737	0	0	109.5879938195	63.5066943743	55.4646967570	94.9839831519	964.1216315774	1254.0715302940
K00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6563725004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00007	0	0	0	8.2797883364	0	0	0	0	0	0	0	10.5127557579	0	0	0	0	0	0	0	0	0	0	0	619.0687640904	224.8801439276	24.6967959076	37.4877647086	0	0	0	0	0	0	0	0	0	0	26.8642911812	0	0	0	0	0	18.0397799563	0	74.3930824464	51.8566782719	172.6819821165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8758219211	3.8751652338	0	0	0	0	0	0	0	0	33.1248468011	0	0	0	0	5.2598870242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2609908464	0
K00008	1813.7183472060	2075.9570694598	1309.2888284472	162.8736180475	601.8554253384	274.1231169556	1005.8442197630	225.4986226332	1082.9845120188	1127.9937057996	668.8870519540	91.6922492910	209.1362984394	193.2847325766	1169.2728257766	538.0919064847	0	271.7016302738	30.1010105586	15.0991323893	0	228.4342909029	17.0722364901	740.0026258839	251.3617112431	324.1457923147	390.7961966820	183.4424923434	484.4140645992	843.0968377642	152.9738655869	2151.0230141501	864.3597822218	285.3007169986	667.4096805042	612.1688708688	968.7582697692	1983.4258542640	652.2679027135	834.4452545612	886.3734773872	2946.0579826845	393.1114453897	386.0925284053	1022.5684285341	660.8761856026	1688.5496013568	822.7904800801	1349.0992459962	171.8135964377	1421.1792916472	976.0245766371	916.6051489221	714.5457743312	694.4521142602	633.5838007106	645.8299424305	1356.0961909691	832.5146877054	1583.8462627428	2620.7751840787	1724.6462356503	774.2867607548	869.7203641566	1189.3096479746	341.7798768917	524.8041348507	382.4166907168	481.4180735912	946.7574729026	332.5154633707	2295.2768364691	737.5064058322	24.0607324157	55.5025582777	472.2570830602	1327.5846107265	1218.5749855226	52.4121357587	45.1525116247	298.6669219991	837.5820208150	1836.5265924793	5.9552083280	45.6881231246	35.7279058962	371.4935001429	470.6601738327	884.7420986682	270.9593524167	217.5762069476	0	115.7592368759	54.3932544832	339.3845596240	822.9125498873	0	0	25.9996028361	9.0437847765	0	0	1034.6670520365	470.0452024360	574.3507468872	570.2020855430	1367.6247281253	1613.3002720578
K00009	63.8175094547	19.7628069303	0	18.8553606789	671.9889078287	0	349.9901668177	21.1100991703	17.9259805482	24.9990503726	0	41.0533651014	67.8488179423	0	62.5453960422	72.0038040208	0	20.5954258338	0	0	0	80.2866003832	53.6351744154	1369.2332855613	439.5367830638	89.1689936013	126.8744325382	7.3214916930	29.5666204957	75.7050246559	0	35.4549655222	31.5037059259	0	17.1766286261	13.4123326467	60.4838914089	34.5863925037	65.9578468408	81.9889121158	5.6037687131	10.4536860049	20.6061836312	53.2261688255	110.4424013675	84.5923628457	824.2154633807	315.1227363382	84.5258151088	177.0087270104	0	22.1132703513	14.8419553081	15.8307310360	81.9551047928	79.1825962946	60.5232041701	86.0788887229	21.1601647132	39.5810942435	21.3745866165	145.7354581195	82.1773830853	53.8335871702	37.1820911980	45.4093282143	12.1008635027	37.2839087816	26.9732251775	24.1349054846	24.8632570558	91.7360100818	66.4081477419	23.2025516961	43.5824325060	169.9387449536	10.8853177897	63.1836149065	0	0	0	9.8448611255	39.6845440004	8.8458233267	0	0	0	7.1272625942	8.8905077387	19.6719041960	8.9451970628	0	65.5436311316	2.9732021676	8.0738715473	8.2056824827	6.1171352251	5.3327650147	52.6973724650	25.8684367991	0	0	48.1830240764	26.9004667653	54.4450205657	0	42.8309424259	31.2889291191
