sampleid	Axis_1	Axis_2	Axis_3
CD1_T1_B1	-0.037520964382895	0.06346951958985	0.046828648922897
CD1_T2_B1	0.009015695381611	0.068910978740981	-0.016400468027903
CD16_T1_B3	-0.035132287765563	0.048938759317395	0.052371881891729
CD16_T2_B3	-0.005637883705516	0.078308726124158	-0.021319557834352
CD16_T3_B3	-0.03694212360875	0.108398643848033	0.012429603651681
CD17_T1_B7	0.001616387157388	0.080916952255461	0.021365248410253
CD17_T3_B7	0.105136521851166	-0.031682940857084	0.007098316530597
CD17_T4_B7	-0.006191872401362	0.077539265600831	-0.032029999984981
CD27_T1_B7	-0.00823892090281	0.011325932515595	-0.063726251022768
CD27_T2_B7	0.029477903863005	0.006598440056049	-0.06157947062969
CD27_T3_B7	0.008130335740796	0.066147308468215	-0.040607078765881
CD28_T1_B7	0.087454167949892	-0.024724829258619	0.100398158992297
CD28_T2_B7	0.03216020553891	0.002305439859843	0.136922785560507
CD28_T4_B7	0.059627802256505	0.069127128706852	-0.076746679482712
CD35_T1_B7	0.008478986849121	0.055029910048038	0.087600719869632
CD35_T2_B7	0.028591024138033	0.017506977547949	0.101078382370029
CD35_T3_B7	0.094290675459279	0.041515944529591	0.012908576506164
CD35_T4_B7	0.026231792029165	0.139738179041343	-0.004062754013489
CD38_T1_B7	0.0198340542009	0.015159562362635	0.012216294168056
CD38_T2_B7	0.029521004241101	-0.00622028167745	0.020273056489342
CD38_T4_B7	0.037534910138265	0.033093061749886	0.067109017497382
CD38_T5_B7	0.082869510504313	0.050109508642614	0.017965683228269
CD5_T1_B2	0.074644264127344	0.00885081772892	-0.011834224699483
CD5_T2_B6	0.009899167322916	0.07875982736571	0.031523828106859
CD5_T3_B6	-0.018473029743996	0.104095021941893	-0.038826351215032
DONOR2_T1_B4	-0.024746410911248	0.057201470060106	-0.076387160325051
DONOR2_T2_B2	-0.030551195268174	0.067467362611863	-0.049329043606525
DONOR3_T1_B1	0.035543705679415	0.07210743314052	0.017788882395528
DONOR3_T2_B2	-0.025793943102712	0.07650052376706	0.06397671411311
DONOR3_T3_B6	0.009350178043736	0.092798832276482	0.082253806986372
DONOR7_T1_B8	-0.024247649538301	0.089086261076782	-0.038707947414912
DONOR7_T2_B8	-0.012142552637571	0.109098298173802	-0.112529272981097
SFM028_T1_B1	0.053447861449858	0.068453802959015	0.146499961868587
SPORT17_T1_B3	-0.054956692061167	0.045606229517758	0.107397813037248
SPORT4_T1_B8	-0.015742827103832	0.068946959700972	0.088098195951706
UC15_T1_B3	0.107361743697447	0.082894720839029	0.031479433554502
UC15_T2_B3	-0.000758602799461	0.03766857091295	-0.010997053834714
UC15_T3_B3	0.017631444430972	0.057736663116703	-0.034750121300457
UC15_T4_B3	-0.061715178370028	0.067639283692483	0.045857841933394
UC15_T5_B5	-0.019888292187127	0.04088816704055	-0.028539933175735
UC22_T1_B6	0.101169190119243	0.051252640946943	0.055947841316171
UC22_T2_B6	0.055159690839399	0.086857161581745	0.009300387877208
UC22_T3_B6	-0.004572063665385	0.078108770947669	0.046923690031458
UC22_T4_B6	-0.063102789373852	0.060337200812651	0.051715095886954
UC22_T5_B6	-0.055753299714487	0.061659545736855	-0.009711956054143
UC3_T1_B1	0.048863325303658	-0.002160168846788	0.038681642225214
UC3_T3_B4	-0.062061094043809	0.063632674135344	-0.019510094943369
UC3_T5_B5	-0.020919192886483	0.073856148213279	-0.095056869319016
UC33_T1_B7	0.056490235013216	0.062527638970545	-0.006634621927018
UC33_T2_B7	0.040547321949717	0.03988069806825	0.02386958809664
UC33_T3_B7	0.049512606294859	0.088308839030884	0.028153598130775
UC33_T4_B7	0.04536095161221	0.099038054917893	-0.019415229118114
UC36_T1_B7	-0.020669487777454	0.009228550128241	0.051328784221028
UC36_T2_B7	-0.007209227635382	0.029181913322828	0.031838477092074
UC36_T3_B7	0.026406258791705	0.085143653105232	0.007495839183828
UC36_T4_B7	0.024021855419872	0.106844074294157	-0.024942577964869
UC7_T1_B2	0.094086179350901	0.040528952660915	0.013220354795687
UC7_T2_B2	0.084784030604693	0.054581723819121	-0.041609902971144
UC7_T3_B2	0.091815387957847	0.047953539907393	0.014180408670265
UC8_T1_B2	0.016181658175104	0.042427726307284	0.093823714643161
UC8_T2_B2	0.01315397355281	0.04368549794193	0.131028698773106
UC8_T3_B4	-0.023122014317645	0.093163932013783	0.079228410376231
SRR6468499	-0.064343934105218	0.02323897435936	0.008245638964765
SRR6468500	-0.046388155120784	-0.02259181343888	-0.042242208604975
SRR6468501	0.082833099096859	0.016441956383912	-0.007561107630086
SRR6468502	0.081479717797195	-0.015480593422031	-0.024860959259645
SRR6468503	-0.066607971319588	0.031564836604222	-0.079689029883261
SRR6468504	0.034048513570607	-0.006525681936168	0.008782101390289
SRR6468505	-0.023604217137097	-0.048475818714905	0.122021339681273
