Taxa	Axis_1	Axis_2	Axis_3
Prevotella_copri	-0.161359215043474	0.383582668020738	-0.152876451206993
Faecalibacterium_prausnitzii	-0.240287667486492	0.140144615990662	-0.050234967441169
Cyprinid_herpesvirus_3	0.025214044799555	0.051807986625255	-0.036371431141667
Eubacterium_rectale	-0.14505934321952	0.001308193130347	-0.104786378309664
Alistipes_putredinis	-0.163469836353768	0.059142902751912	0.215649411369511
Collinsella_aerofaciens	-0.201553344273088	0.189309625891967	-0.122286037842666
Bacteroides_uniformis	-0.157803902337618	-0.041006999281744	0.220671533815582
Roseburia_faecis	-0.154353081866451	0.005740723403123	-0.105417445144005
Bacteroides_vulgatus	-0.157406238139486	-0.092829806583481	0.197803183693722
Bifidobacterium_adolescentis	-0.201439660693988	0.089996498385843	-0.167869260711886
Bacteroides_dorei	-0.099182818826249	0.162910921582381	0.127640838622926
Akkermansia_muciniphila	-0.140571764273744	-0.014189338949953	0.091455672076555
Escherichia_coli	0.062516858794879	-0.131432017862289	-0.027077499519906
Ruthenibacterium_lactatiformans	0.000254787199943	-0.087026812440601	0.073581345651733
Firmicutes_bacterium_CAG_83	-0.026219735757537	-0.02685998413571	0.047787010691921
Barnesiella_intestinihominis	-0.089004518548455	0.015043866095266	0.179585304687937
Bifidobacterium_longum	-0.124001145810504	-0.054263326325225	-0.189953242461694
Fusicatenibacter_saccharivorans	-0.150270302708423	-0.049650207988157	-0.102883811178574
Dorea_longicatena	-0.138624783030596	-0.056035913068183	-0.136644698722574
Bacteroides_caccae	-0.077103903824723	-0.009649715307273	0.184680463688746
Veillonella_parvula	0.062843886412353	0.001293813060554	-0.041975371655431
Ruminococcus_bicirculans	-0.111451286768455	-0.015943184148639	0.022299994851191
Ruminococcus_bromii	-0.204935741477009	-0.000698693217801	-0.005856517474836
Alistipes_finegoldii	-0.015386824909492	-0.060136022924246	0.108752299508859
Anaerostipes_hadrus	-0.112495100558676	-0.113503143623728	-0.168802771776866
Bacteroides_stercoris	-0.094236929884504	0.088246631912796	0.159103231802418
Roseburia_inulinivorans	-0.043182037226334	-0.030364627155715	-0.02379632593023
Bacteroides_thetaiotaomicron	-0.029407308061704	-0.055365724007809	0.169540541432398
Bifidobacterium_bifidum	-0.163139167864115	-0.015416040300768	-0.100926043895164
Ruminococcus_torques	-0.099960777063609	-0.042078717467628	-0.101190494958419
Oscillibacter_sp_57_20	-0.050692495290167	0.022682897874911	0.070784719479857
Eubacterium_hallii	-0.114784365562767	-0.042410313684151	-0.104539530250694
Parabacteroides_distasonis	-0.073349553615364	-0.054987496838841	0.23117482800033
Roseburia_intestinalis	-0.049492305811042	-0.07010334126285	0.004516435128832
Coprococcus_comes	-0.117703817508064	-0.040107877969759	-0.075863169130687
Ruminococcus_gnavus	0.079746615999869	-0.299370345335781	-0.061775217855161
Agathobaculum_butyriciproducens	-0.071669572425112	-0.024090784380794	-0.033429709891173
Bacteroides_fragilis	-0.04073027772835	-0.040953917257064	0.049509865393548
Streptococcus_parasanguinis	0.047601008469183	-0.000195549898126	-0.102874875369443
Oscillibacter_sp_CAG_241	-0.00897271675058	0.031244223901823	0.075767912477873
Flavonifractor_plautii	0.018524077026261	-0.181330078815552	0.074151340753276
Eubacterium_eligens	-0.072463095173738	-0.009105183752323	0.113788820300394
Lachnospira_pectinoschiza	-0.034341139620209	0.017620583337811	-0.035579076403087
Parabacteroides_merdae	-0.075231619382192	0.003788701037087	0.19896578454341
Blautia_wexlerae	-0.035779968558281	-0.156735230225993	-0.163068071158728
Streptococcus_salivarius	-0.006622421208986	-0.009880994183394	-0.167530383981937
Roseburia_hominis	-0.029256242293359	0.004235825374186	-0.016721623230348
Dorea_formicigenerans	-0.076410176061472	-0.017527238345195	-0.090424932057838
Blautia_obeum	-0.099401235391527	-0.003481652648563	-0.051405704307832
Odoribacter_splanchnicus	-0.012350039673287	-0.005964453391302	0.19649074244747
Slackia_isoflavoniconvertens	0.005062977251688	0.065008932323707	-0.017217550437489
Eggerthella_lenta	0.051196942722546	-0.196525900394618	-0.031687861890426
Streptococcus_thermophilus	0.01674425856878	-0.050715223953979	-0.169550617125712
Ruminococcus_lactaris	-0.073329487124697	-0.043494556190185	0.043524891485252
Bacteroides_ovatus	-0.01743496735916	-0.101476177294706	0.172018824684631
Bacteroides_xylanisolvens	0.026887160309834	0.002840053633826	0.114330660278698
Coprococcus_catus	-0.022280026964308	-0.033421843989275	-0.098874832620082
Eubacterium_siraeum	0.009481784011782	-0.06294689104275	0.029311784135718
Alistipes_shahii	0.027107154872845	-0.020672132145726	0.112324272947325
Clostridium_innocuum	0.096466074057896	-0.062228756620042	-0.0382476115397
Gemmiger_formicilis	-0.007694788933258	0.052677104330812	-0.031966840336369
Bacteroides_cellulosilyticus	0.022238143546768	-0.10585658824915	0.048340660903912
Eubacterium_ramulus	-0.021170185787829	-0.067775839415487	-0.04024635486469
Intestinibacter_bartlettii	0.066329287900049	-0.003462451002838	-0.099465009570546
Eubacterium_ventriosum	-0.00431628319856	-0.01499956304142	-0.020362875003886
Clostridium_sp_CAG_58	0.018484089315869	-0.086012953971872	0.008178569596542
Asaccharobacter_celatus	0.007809254618813	-0.04926398801774	0.037166249718373
Alistipes_indistinctus	0.03800083624544	0.006854218127145	0.036846427968239
Parasutterella_excrementihominis	0.014942574721937	-0.104851162605294	0.060531391182209
Eubacterium_sp_CAG_38	0.004068549359183	-0.005926689868318	0.030611929250265
Eisenbergiella_tayi	0.074744142165566	0.059785434056303	-0.116947373842517
Lawsonibacter_asaccharolyticus	0.065283526282283	-0.03409692008598	0.025651827078715
Gordonibacter_pamelaeae	0.046894148174282	-0.127438977096891	-0.045560841512815
Adlercreutzia_equolifaciens	0.013084299421553	-0.03321507446338	0.026338575720002
Clostridium_bolteae	0.108454544537734	0.008978623842337	-0.021601562546761
.Collinsella._massiliensis	0.088176840609667	0.103242130443573	-0.040049995071501
Intestinimonas_butyriciproducens	0.079225031768461	-0.03402959907394	-0.018492581956031
Clostridium_leptum	0.062434531723733	-0.07586487809669	0.001453133817193
Lactococcus_lactis	0.063873094250824	0.077407093584842	0.012803436318935
Bilophila_wadsworthia	0.07445105891135	-0.019015849712424	0.046659168106197
Holdemania_filiformis	0.102979442927524	-0.018207857045897	-0.014655360890206
Turicibacter_sanguinis	0.073044255090411	0.07606548099717	-0.063749164422155
Haemophilus_parainfluenzae	0.081817457090172	0.017434291078095	-0.032306179661135
Actinomyces_sp_ICM47	0.111000729440842	0.086805982806989	0.042958928771397
Streptococcus_virus_phiAbc2	0.065363596735752	0.042823731275419	-0.00382201505024
Actinomyces_odontolyticus	0.117082716982893	0.114749236175124	0.06736167135835
Rothia_mucilaginosa	0.134058858107751	0.114318978207301	0.049701282215631
Roseburia_sp_CAG_471	0.15731034316139	-0.075640931594665	-0.052291086583663
Collinsella_stercoris	0.077853227762086	-0.099983434259748	-0.074706753423831
Eubacterium_sp_CAG_180	-0.015533910677334	0.006977685506565	-0.005846945391883
Bacteroides_plebeius	-0.053693029321127	0.022416206775742	-0.01655682997316
Holdemanella_biformis	-0.026450671067524	0.003403591354905	-0.057257377177129
Alcelaphine_gammaherpesvirus_1	0.057369273090044	-0.034817973215717	-0.011752915166027
Phascolarctobacterium_succinatutens	-0.079287359477787	0.049129388176064	-0.010793316884384
Coprococcus_eutactus	-0.047841305389209	0.028664986460509	-0.029983070112516
Alistipes_inops	-0.033692236466789	0.008034094938135	0.034037484810365
Prevotella_sp_CAG_279	-0.048976266215934	0.030751137645834	-0.004494207065011
Bacteroides_massiliensis	-0.006964007492142	-0.003721792186837	0.042952654428696
Methanobrevibacter_smithii	-0.006604543086528	-0.003472125684039	0.001253027817659
Paraprevotella_xylaniphila	0.024641398085418	-0.018408917063122	0.001114503048449
Firmicutes_bacterium_CAG_170	-0.003058466992021	-0.003658461011216	-0.025172481156578
Lactococcus_virus_bIL67	0.039486450010504	-0.040788959360791	-0.031570354392148
Firmicutes_bacterium_CAG_110	-0.01233052760844	-0.008754497964367	-0.003001019841719
Coprobacter_fastidiosus	-0.002173348932644	-0.010213897065502	0.006233953142684
Butyricimonas_synergistica	0.046493270631578	-0.036031361800485	-0.022052492767713
Paraprevotella_clara	0.049208972027652	-0.022477067496756	7.69E-05
Blautia_sp_CAG_257	0.065186581645777	-0.180910220448109	0.021223712573428
Erysipelatoclostridium_ramosum	0.082935512675193	-0.088307200021213	-0.021592437313385
Dorea_sp_CAG_317	0.004954477494471	-0.081659821788233	0.014263499672092
Clostridium_clostridioforme	0.055999258739041	-0.007415281689749	-0.030020199778112
Blautia_hansenii	0.008232025540505	-0.033535903541733	-0.062104716469117
Dialister_invisus	-0.059973560516695	-0.010145748461987	-0.023463889079273
Firmicutes_bacterium_CAG_94	-0.028065873545224	-0.023800403588826	0.000413378408901
Veillonella_atypica	0.04109190963211	0.0238362696939	-0.064134373462473
Monoglobus_pectinilyticus	-0.048764709989268	-0.031218741242661	0.026469569930157
Collinsella_intestinalis	0.116322785839741	-0.044964015881057	-0.045280173906786
Eisenbergiella_massiliensis	0.073223576655624	-0.042806979597045	-0.030578630732986
Clostridium_symbiosum	0.068855432940901	0.031628101665596	-0.059090200404762
Blautia_producta	0.051448517625151	-0.005573949299026	-0.019313372731754
Sellimonas_intestinalis	0.036267032255769	-0.035785013210644	-0.016326238143632
Phascolarctobacterium_faecium	-0.027648228358454	-0.064751750769721	0.003045719141063
Proteobacteria_bacterium_CAG_139	0.0077409145916	-0.032949202423694	0.042046465737168
Blautia_hydrogenotrophica	0.040420703236214	-0.067099070006416	-0.057036034110719
Anaerotignum_lactatifermentans	-0.006942666943028	0.00179312737175	0.034549779915086
Streptococcus_vestibularis	0.052645766902302	0.103048820188215	0.015290082891215
Anaeromassilibacillus_sp_An250	0.051606486959445	0.031782587014679	0.04437534901486
Clostridium_spiroforme	0.053092814876568	-0.010197055618747	-0.003531848411994
Clostridium_scindens	0.033257557114716	0.109861893561226	0.025590031623946
Clostridium_saccharolyticum	0.066242779007093	-0.001973236877539	0.010125700937188
Veillonella_dispar	0.063004552229879	0.041414570610904	-0.018017736475738
Blautia_coccoides	0.07195290282484	0.12198950610681	-0.021026065703285
Hungatella_hathewayi	0.050251673338316	0.122139024668524	-0.066661948750864
Firmicutes_bacterium_CAG_145	0.049555959652028	-0.004040568973162	0.007350258826533
