Sample_ID	Current_Natural_Log_Ratio
UC15_T1_B3	-0.5529797500620184
UC15_T2_B3	0.3393817912234631
UC15_T3_B3	0.6202972253513277
UC15_T4_B3	4.6203669413748045
UC15_T5_B5	2.422359309426726
UC22_T1_B6	3.63438162418941
UC22_T2_B6	5.915181839470831
UC22_T3_B6	5.498533457407241
UC22_T4_B6	7.066104251719107
UC22_T5_B6	7.178944523890652
UC33_T1_B7	2.3472980670799046
UC33_T2_B7	6.651358657776154
UC33_T3_B7	4.984291794192879
UC33_T4_B7	6.050569315449204
UC36_T1_B7	1.5488225784594931
UC36_T2_B7	1.7691776695202446
UC36_T3_B7	3.8317776187396495
UC36_T4_B7	4.67684349896776
UC3_T1_B1	1.535161347868998
UC3_T3_B4	4.337345963930703
UC3_T5_B5	6.782638142644041
UC8_T1_B2	2.1657020460786907
UC8_T2_B2	1.863696914783736
UC8_T3_B4	3.318770855330728
