Sample_ID	Current_Natural_Log_Ratio
CD16_T1_B3	-3.4851797569802905
CD16_T2_B3	-3.4542382283651047
CD16_T3_B3	-2.4977431614830206
CD17_T1_B7	-0.4191300540610534
CD17_T3_B7	2.99640786773913
CD17_T4_B7	-1.599587391105576
CD1_T1_B1	0.5351032161437121
CD1_T2_B1	-0.20159855168487262
CD27_T1_B7	-3.9225787330669997
CD27_T2_B7	-3.5890857200999102
CD27_T3_B7	-0.36618159679733786
CD28_T1_B7	-1.072970474196774
CD28_T2_B7	-0.5819169780521225
CD28_T4_B7	0.2141002894377042
CD35_T1_B7	-1.3228262275817197
CD35_T2_B7	-0.1734134556752931
CD35_T4_B7	-0.4021917058168434
CD38_T1_B7	-4.191098067460057
CD38_T2_B7	-3.2068964410817626
CD38_T4_B7	0.24217021063912192
CD38_T5_B7	1.2901295392469008
CD5_T1_B2	-0.333698057844396
CD5_T2_B6	-0.6515224773903192
CD5_T3_B6	-0.21243197953528892
