featureid	Intercept	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SPORT17]	time_point
K00001	1.18954493190415	0.226894651177676	0.0456207790233801	-1.11686791790422	-0.248161597160447
K00002	-3.44988082264297	1.28654542994812	0.463080088124485	-1.16612041307386	0.935640173049819
K00003	1.58311764980919	0.269787930521519	0.460213402734012	-1.59778364313539	0.484790163131606
K00004	-2.13220666263931	-0.0631096916167423	-0.0745697743437578	0.361085158458388	0.147872226329696
K00005	0.35770256902344	0.206538620042951	0.983785609231205	-1.42249821437296	0.420911030860793
K00008	0.417931453243563	1.56726900172547	1.26728639982721	-0.248188513645494	0.361478941532027
K00009	-0.319723351939848	0.485458706143649	0.0783124440171431	0.846462470164931	-0.254306871892709
K00010	-1.98335669849746	1.08257201743439	0.556951681599827	-1.84233434809145	0.766279177757156
K00012	2.81414415027268	0.509460423711093	0.497137675509662	-1.07426892904338	0.194472866149795
K00013	2.41600085879929	0.389741663459094	0.425507287011356	-1.28191857350763	0.345653848739516
K00014	2.42112828876145	0.688622806790621	0.396431277022571	-1.29378904713091	0.27742494830693
K00016	0.803443358198473	-0.391118671175687	-0.2925464413307	-2.00851609123644	0.686894970031631
K00018	1.33683227087624	1.54024103713349	1.4344556131222	-0.633670199045503	0.112354027124297
K00020	-0.214625819667509	0.363963295343669	-0.271567722334652	-0.844030159839952	-0.0596335809508446
K00024	2.9770895400203	0.90366861653641	0.299535254464359	-0.98011932087835	0.0176000464877006
K00027	1.75580020333893	0.98909923863724	1.3500319518902	-0.718868333229386	0.262295620532882
K00029	2.57256735946305	0.712183688405307	0.128091970906467	-0.931086140999162	0.0150383282622215
K00030	-2.58435533855789	1.03521243167237	-1.85649945355871	-0.82285343421396	0.206034021469009
K00031	2.60749186660416	0.414949346903117	0.293121213541241	-1.26224309516844	0.287763969989669
K00033	1.80677016164429	-0.0978913562266514	-0.462965031637936	-2.27795864952501	0.436162369342696
K00036	1.88014395619995	0.226791347393404	-0.402244826330929	-1.90094526422914	0.292861120792281
K00040	1.26698681052096	0.828989897492678	0.493084500060291	-0.366879719623887	0.320432381721389
K00041	2.51399959708817	0.633896772387774	-0.0495432294152071	-0.857717204222047	0.145752476545226
K00042	-0.230152948840788	0.17880025190428	-0.515593131556301	1.17942438708845	-0.3046999070624
K00045	-0.668045266612699	1.62951210570648	1.30998180292627	-1.63188948048052	-0.61819295397197
K00046	2.91262663985855	0.766425405267031	0.490357676968784	-0.739686805137956	0.145757185312163
K00048	2.49765946056015	0.536550794366152	0.636957863793583	-0.861609029898011	0.267269449325454
K00052	2.83288444663651	0.553225134137423	0.425351748690815	-1.0671784350067	0.241967009397399
K00053	2.93727649833328	0.485364083770068	0.504783163295002	-1.16897506205138	0.26826693305577
K00054	-1.19081161831253	-2.18218323158905	-1.59340395547369	-2.06556411398348	0.766999440284621
