featureid	Intercept	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	time_point
K00001	0.600637050508066	-0.211432973804502	0.501410125661243	0.48113421883598	0.0322051203586561	1.02926901179611	-0.421701819184982
K00002	-2.05834522640844	-0.453486914696722	-0.649332405161511	-2.42296739134774	0.890378371510695	1.28551957207978	0.208189397569931
K00003	1.6459190567718	0.0820306735610679	1.419475733209	1.29113368477836	0.252953187260817	1.97313192683518	-0.146140128854477
K00004	-0.556335953833059	1.0924901562309	-0.820466757845532	0.178586674595029	-1.75999985572319	4.42309549647629	-1.39329490113612
K00005	0.589437985955282	1.04341228776929	1.30560612576043	-0.285888927316516	0.109079607460688	1.57860014039337	0.00808867764118992
K00008	1.45839193665843	-0.898306469383268	1.31537473099266	-0.273444311952442	0.60989119175453	1.58802315789521	-0.162381798509323
K00009	-0.0302622596039335	0.394619901714297	-0.186991871428143	-0.493347065782398	-0.386624410118868	-0.9896905104512	0.168830424066819
K00010	-1.30844989216466	0.090143670377703	1.1893082250837	1.86194066491142	1.29175032738228	2.00513616401016	-0.126921415809356
K00012	1.81904372775416	-0.1112569076443	0.788598953652728	0.57057767894283	0.284018949303816	1.36737400490105	0.0946885640585788
K00013	1.97025677764277	-0.119334670665292	1.22664624350106	0.692158458495289	0.503335640464018	1.50541752773583	-0.0582843427693478
K00014	2.10076579654078	-0.62828571623805	0.68262159721886	0.856416476631314	0.431717888150404	1.40394473272621	-0.113495886806213
K00016	1.30086657607417	0.693667252597781	0.962801991868366	0.467016171404869	0.138409570489119	2.04383984404862	-0.201396748903953
K00018	1.30557814442973	0.231144000825854	1.53196179764305	1.62127475228325	0.170976341400335	1.63676676350891	-0.1776465480363
K00020	-1.16379228031774	1.25199242406842	-2.09968125922645	1.42296562876716	-0.0496707403324145	3.42702582675278	-0.522083335105144
K00024	1.75000557505946	-0.451111475887327	0.975096463132251	1.32155523982063	0.781791762147139	0.973875189304946	-0.0882862513100735
K00027	1.69616505706172	-0.133913415434389	1.98244511978661	0.872907293701321	0.544188872609327	1.52151790458023	-0.0566883091961972
K00029	1.30266896092753	-0.438078264656095	0.941449313330997	1.41508750405327	0.789855555329512	0.838785486400721	-0.0937339966332547
K00030	-2.5958417931809	-1.11636571115497	-1.75316679580177	2.16041795697227	1.23203863266487	1.65976038771927	0.19961574625615
K00031	2.06520042025904	-0.614408831062345	1.56555032627617	0.794861418867261	0.606908694539259	1.31059560376465	-0.0944260661637417
K00033	1.02496895396571	0.301971157131167	0.805149405169834	0.794435871505887	0.229827359948347	1.59696212607682	-0.148250848535263
K00036	0.998810621141001	0.153687079486819	0.565307012665618	0.100825173521191	0.220523179207037	1.38878143030464	-0.148442298654281
K00040	1.36851379477839	-0.265911037983923	0.481623050663222	-0.044297533368915	0.320577487979124	1.15421965169966	0.00254240584019505
K00041	1.77183231913905	-0.405830304088621	0.495890523213495	0.0933646985532347	0.390769377980421	0.724670143902896	-0.114310920718872
K00042	0.184085907577082	-0.239479171993761	-1.20494055850471	-1.59869642767891	-0.742629333700945	-3.00267860096634	0.403628855463303
K00045	-2.29974189198156	-0.655034403266935	0.530303019005407	-1.11266310725197	-1.35463927623253	0.767340453446505	-0.420858733836376
K00046	1.86017665469508	-0.422384957733183	1.26977068083321	1.22848538842216	0.8364363468029	1.73275020915329	-0.0851994161641232
K00048	2.1990790089355	-0.491711090269117	1.23645591633355	0.291766492390782	0.298195139203261	1.16540835994541	-0.033621311668121
K00052	2.2666032036529	-0.125982510807542	1.11747831003701	1.02786610808387	0.6719494617321	1.48474243480026	-0.105662286761963
K00053	2.29854878985743	-0.170048124107151	1.48213952677285	0.84666777935043	0.63555242184181	1.5968059619075	-0.0535928909813992
K00054	-0.620571164251761	1.68922313028333	-2.28063929183448	0.877684933805615	0.206965253386687	3.99308374720871	-0.767572999480926
K00057	1.80271336638789	0.227754850921603	1.24163907663857	1.24964205708519	0.716406062874983	1.7535157521373	-0.0945326094662777
K00058	2.22638723456721	-0.697817812624006	0.927046864199985	0.816156549120099	0.331639812026213	1.28527882891953	-0.0553823118245236
K00059	2.56282374465327	-0.286131205918817	1.19781291382347	1.10676704134956	0.305397228036116	1.58553490239441	-0.122938603643142
K00060	0.0877528508887728	-0.198725538278548	0.484718183893312	1.45455352749839	-0.34778149363022	0.0885899980670191	0.0840630824530491
K00065	-0.238187460066275	-0.12138999527934	-0.712657214235913	-1.46537251982674	-0.721891626086046	-1.75328632992447	0.252187519785202
K00067	1.91175565326075	-0.520280967416792	0.717661469149936	1.44845424380317	0.469400749240111	1.74584058123886	-0.106844157460891
K00068	-0.0916669646515409	0.517803211746187	-0.768604756426465	-0.508674996232837	0.320711836848448	1.05322158719659	0.090881794210709
K00073	-0.603758005262808	-0.00573494559767693	-1.29872906310524	-1.50539012465462	-0.596315964426805	-2.9682483355397	0.35696563076619
