featureid	Intercept	gender[T.M]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	source_id[T.CD16]	source_id[T.CD17]	source_id[T.CD27]	source_id[T.CD28]	source_id[T.CD35]	source_id[T.CD38]	source_id[T.CD5]	source_id[T.IBS2]	source_id[T.IBS6]	source_id[T.IBS9]	source_id[T.UC15]	source_id[T.UC22]	source_id[T.UC3]	source_id[T.UC33]	source_id[T.UC36]	source_id[T.UC7]	source_id[T.UC8]	disease[T.IBS]	disease[T.UC]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.DONOR7_T2_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	basket[T.stay]	age	donor_age	time_point
Prevotella_copri	-0.297274220973209	0.711180070016001	-0.157412025722719	-0.688114003877022	0.465559034386561	2.06163950367565	0.536462610404539	-0.780992485804572	1.21324621595531	3.83674202545635	0.180520763875739	2.2807081444189	0.171528276366492	0.402622261927241	1.29370380153081	-0.453399911600475	0.894524138731261	2.004477756364	5.43467133875848	0.658370241364797	3.16223868647856	0.0340416495954352	-0.950555071633841	-0.285726773042587	0.234970658219286	0.161149700837476	-0.167634925361545	0.200926872546829	-0.510842673003762	0.462899198079304	0.624782495397431	0.385247162809329	-0.928430698812008	0.409836986456953	2.04410745997337	0.573953970717931	3.3071284334264	-0.005267007998468	-0.0735871893508981	-0.147716049404283
Faecalibacterium_prausnitzii	1.03722561499481	0.172672429654215	1.75517442485406	0.351397676726005	1.33005955700009	1.56027151747341	2.54357940499072	1.63650896378039	0.733313818351321	3.99349087162963	2.90400814104249	-8.1289188163355	1.29408543960502	1.01634196369421	-1.96524643192866	0.316399738114948	1.10562349514415	1.19295104060854	2.38084500666619	2.08742962761815	-4.03207293232637	6.93693519283884	0.369936123091195	0.0847726888466804	0.862673550045916	-0.707850972456591	-0.476177266355427	0.13054898625151	0.441347904980094	0.696959709072308	1.85473292340646	2.12044899844165	0.374196745455265	1.08709982911214	1.25097199578193	1.95673106555893	3.45020996435501	-0.128097525588514	0.183540512885277	0.348838086871962
Bacteroides_vulgatus	0.26905662915115	2.39173958596906	0.487247791496061	0.358936710615775	1.74350622181027	0.546010450559801	1.42077255789523	1.85349538155077	0.468928147927814	-6.61958350554951	3.67811440515687	2.91315985750407	0.591782238644858	1.35636697141897	0.715416200059865	0.856085643094654	2.01820878343036	-3.85133860792433	-7.94067770604133	2.91235445424016	-6.86797180851655	3.90964341808909	1.03820134659431	-0.850514160890487	-2.83912602146821	0.489621301846845	1.0519656329194	0.186948324198879	-0.388430557668298	-3.75901747748832	1.63066189755808	2.3001542606258	0.848357774317265	0.0236554829226363	2.18306154806522	0.597360088872457	3.10069594188549	-0.0580970931568161	0.0666023689166953	0.240189190654616
Bacteroides_uniformis	-0.458319027215198	0.166923978898142	0.0189049210221995	0.995431108732841	-0.589955062827184	1.38376255436534	3.09307510201221	1.20109941788195	2.41785262979656	-1.56560315505513	3.44962023782899	2.52806332241744	1.79563158409049	2.02971986858618	1.47081678320787	-0.0912989229739954	1.88816754178454	-4.34475920881544	-6.91219622258186	-3.27985288218562	-0.803542763793043	6.46795917202586	-0.254261717599418	-0.0485247098397286	2.39393123904509	2.2765538298658	0.889902511123745	3.51369938498274	-1.35802721184501	1.00187866880913	-3.31344062815298	4.09557025813098	0.476833917200565	1.38662014285191	2.47913970847038	1.50900016670182	3.58003983302929	-0.244444890669824	0.300472189749901	0.573598678855758
Eubacterium_rectale	-2.35219060280915	-2.19358815851488	-1.38626227119849	-0.866099567751267	-2.28711816783817	1.48918046160335	1.68428665940051	-0.367733128590598	-2.63361085496754	7.55189452751628	4.08840631532838	-6.70725553203374	-2.52277142150948	-2.35005494029749	0.881963558095906	-4.31510378428114	-7.15763135595868	2.36353032503809	-1.04494673375129	-0.0225806386858624	-8.10930863102632	0.511042988792594	0.0557203437866909	0.096727324228379	-0.455380827986768	-2.35984424714531	-0.00998613845911764	1.0426042998387	-4.37254654568443	-0.646054635500713	-0.136068530183929	-2.32540495015149	0.707696653902531	-2.34284021576778	-0.869656539965598	1.33899377231553	4.51628327771046	-0.183240218810083	0.500659932460015	0.615938361434798
Roseburia_faecis	0.81495381495361	1.24106256065092	-0.331765163335062	-1.14178271744666	-2.3477582645026	-1.07648281649952	-0.628241950828981	1.79216887779711	0.24832933105617	-0.957120317378126	-0.11876056504081	-8.46226709056646	-3.83182102783273	-2.41069503696192	-5.82065033207514	3.45585320882189	-10.1060146872575	1.29588218246187	-5.61572939518928	-1.85368634776179	-4.86446610172944	-0.912251764043633	-0.622723415893103	-1.96579681565275	2.32331189433379	-0.143755683941501	0.91808609056863	-1.16498353833421	2.16674817401162	0.198368926787572	-1.88727409372916	-5.05933577633862	0.227881051599979	-2.40348031243221	-0.281730867434471	1.36871521120026	3.63819492264606	0.134719328232764	-0.143048453067119	0.277866955547194
Akkermansia_muciniphila	-0.607566375523761	1.92977104482374	-3.18340942600653	1.25414387728753	-1.44729682918461	-5.78880529002553	0.609728699367094	0.459560058789239	-1.01629961572499	0.434145551762499	-9.35663915586303	2.70216248463839	0.22825287313511	-1.51023360164393	-0.845587961774852	0.04646460704195	-1.12740798636029	0.357454913003104	4.36956745024682	0.842254146775563	0.431259243882128	-8.20997595141775	2.20734812279365	0.126956892709824	0.168537064588496	-4.05165270928826	1.79329160738382	-4.10975160950884	-0.0109781543613368	-2.23834515616874	0.808666400808198	2.55253498934742	1.51311073452234	-1.50301887711421	-5.80632350545022	0.887878760146642	3.2181297655306	0.255410836287497	-0.417661766444022	0.270824756173949
Bacteroides_stercoris	0.791116129368588	0.412185260626887	-2.92911503055976	0.543900056143424	-0.734748096427038	-4.45451240138417	-6.99192016776319	1.43154051132678	-0.227630506380506	-8.18798102752217	-4.68491912793945	0.256486724130809	0.514420297307273	1.24854526846182	-11.1931803155957	0.046659395021076	-2.60157700224469	-2.0727379151753	2.29174774523736	0.868674322804769	-0.5519141264792	-13.6687610084856	-0.810618490379836	-1.25997536112776	4.33304032603545	-8.06592587594475	1.87161807108316	-9.61225691193803	-0.0107833663822108	-0.916839967226787	0.835086576837403	-3.35630614377026	0.315940476953983	1.37110636511906	-7.52252004246804	-6.95446504707382	1.33939671917774	0.508524314709662	-0.547900716696555	0.108913775234084
Ruminococcus_bicirculans	0.598746489495083	1.13005755243025	-2.42690036037848	1.01296333815636	-1.21288594718845	-2.72593335704213	2.82921988312488	0.976853035168634	-0.472675095423169	3.971143302164	3.66965769815613	-5.96581189800054	4.77275794403007	-1.27582271964777	1.78344897140882	-0.632341638285046	-3.84155555410931	5.12032868180956	3.27648228045464	0.131909474572499	-1.76669779499727	0.165107673898871	-0.38176755647042	0.210692716341111	-0.264768511855177	0.578372111277921	0.245901444439022	2.44130262976424	-0.689784399688333	-0.0452011923549608	0.098321728605134	3.10263483904834	2.36073742061853	-1.26860799511806	-2.74346540074441	3.14019189720109	3.66926628752567	-0.121717422060014	-0.0462225386096786	0.401871438770156
Alistipes_putredinis	-0.980864275485233	0.3925343543025	-5.42707249859259	0.773657245894096	-2.19659635539921	-0.473760410112196	2.78308326546435	0.0469396335649348	-1.02084220491261	-1.98906268493184	-7.62340093564819	2.01141069363803	2.23115127937247	-2.25953312785853	1.69159144868276	-1.16629065580976	2.00873069123675	-3.39166281904493	-3.60206324223518	-0.811930194655101	-6.03149929722505	6.01717067410105	-5.14059422950127	-0.1636798404645	-1.67551365574556	-0.785915652556079	0.772342064861386	0.306269901449836	-1.22373341721305	-1.54047490165214	-0.845517940622466	1.3686379709148	-5.11846985667944	-2.25231840332881	-1.57035133938882	0.44712601547196	3.68848562641956	-0.0658347446241394	0.187733848656838	0.449091013221602
Escherichia_coli	-0.262361306935504	0.911114835712526	0.872194197383665	1.76492301966729	-2.71693465228946	-0.433280273240858	-1.07552235778089	-2.67263672523023	-8.94891179643483	0.345102411351122	1.55209695387055	1.68001622986048	-1.35595852478097	-2.77987142474878	2.32266796340368	0.509972140115375	-10.5453428809221	4.02406098161425	5.69536056753159	-3.20343519763056	3.90098020354552	-2.60301112483389	0.344464793402169	7.80612064669618	-5.65006676396089	0.427622457700116	-0.801617941375644	0.732327731902755	0.61214257079354	2.05703054859658	-3.23702294359793	0.846117220153766	-0.995761640369892	-2.77265670021907	-1.80376384358498	-1.56846775169418	0.430908445557136	0.0181075196943268	0.26075800236625	0.000866602806906619
