featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.DONOR7_T2_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
K00001	-0.94498879040375	-0.888544158385708	-2.00276075131419	-1.564264051576	-0.31121368504102	-2.36672740881774	-0.216455102754141	-0.472869777051007	-0.0395201603803456	-0.987548607341741	-0.433161246983111	-0.564007454306544	-0.0670102969686385	-0.740260151881062	-0.345465343429621	-0.446793946582293	-0.537821943131258	-0.072233579618558	-1.19501071401301	-1.39872368204363	-1.1223367500276	-0.99882969279161
K00002	1.73066347514496	-0.0810894531473656	-1.13130049235347	-0.451087586541517	1.7838092317528	-1.90173086231086	-0.420598224592711	0.320868707331622	0.283595188435572	0.587937814243342	-2.24585102817208	0.720893926232396	0.941681133123219	0.726732941609538	0.549059648082677	-2.25948372777126	0.136260991725156	0.151212685244456	-1.35064700968924	-0.842097719786245	-0.102154140469497	0.110996156741471
K00003	0.0963438120971652	0.318824453903721	-0.541295630998641	-0.630861394067151	-0.232997229164193	-1.67263567154738	0.58285158793876	0.758089757594074	0.882247610863704	-0.186074632160162	0.597795259746015	-0.622614470065297	1.179089890333	-0.357083616513097	1.83164294438166	0.0562669307408574	1.17456394973678	0.52376983358182	-0.873980663496885	-0.733862658617574	-0.0471607494325101	0.216005712558121
K00004	-1.55969643915787	0.401028915001438	4.10951580279347	-0.787811450620038	-1.84063799477155	1.55780571992066	-1.37662935335686	-0.524120506760871	-3.33951105279062	0.362230998523737	0.256840538772046	-1.28836935082144	1.0054956539591	0.0700226745425828	-2.59454552455145	0.233089891117597	-1.11272394117432	-0.0359180565305797	-0.792969308573636	0.524108926179331	0.137005205157334	-0.238659590672164
K00005	-0.71444726313248	-1.59155608837457	-0.303752763338118	-0.787022344727857	0.786607550615718	0.298947992869883	0.768133758711313	0.16419479909798	1.69169770079519	1.26123164320758	0.64623714664787	1.09782845458323	0.619829581590474	0.0282180032550462	0.126217741535131	-0.588591578561282	-0.507905412656238	0.786367990510837	-0.0114981455391974	-0.0122371517396749	-0.0192328739137113	0.11725130658278
K00008	0.732130226243589	-1.48140747969003	-1.69354815608981	-1.95242892946754	1.31619815730517	-1.2646953434262	0.123360633062814	0.952107048663104	0.94477765160467	-0.51353784178922	0.319948804171979	1.30058843573862	2.03919397434789	0.54419216726414	2.31470521168512	-0.580338734346842	1.1344129497139	-0.127586561752185	-0.78841131158534	-0.440998753187734	-0.0908434438676298	0.260372072268815
K00009	-0.549529466282275	-1.03173887853475	0.332054035596818	0.782777316908496	0.624822365278651	2.25782817895082	-0.0823949583297029	0.322364962729419	0.178134559568423	0.367700797565485	0.850488197596967	-0.864595376641215	-0.156899644521892	0.373305769902385	-0.616903852655467	-0.730223748046374	0.555988734397123	-0.0375199797876922	0.905307956259814	0.670079151513499	0.0387599420576632	-0.118436247299819
K00010	0.754683074105832	0.206499023987339	0.0898300575542157	-0.265281431336744	1.18345873259967	-1.70814305250976	-0.744473696542288	0.0796376234616883	1.7417783578005	-0.110680001728033	0.152468573840558	0.368445224373876	1.04469894013006	1.76477334116093	0.395290333793584	0.0714577705083135	0.397114103469083	1.11822245313443	-0.210992865044507	-0.496252676127034	-0.0530871200532377	0.0426184235108802
K00012	1.17667859469757	0.667697353912876	-1.20008371598247	-0.731765977998121	0.938860343927791	-3.16210484211776	0.686956404852365	-0.207931899395978	0.837905927475947	0.141443830974604	0.880800378116071	0.401690013020574	1.22748504719335	1.08860656831852	2.16336353497309	-0.100885632592654	1.91367871108932	1.85790858461179	-0.358732215840253	-0.603911002752858	-0.105068092343277	0.232318192530961
K00013	1.06340545092926	0.00280277307181165	-0.652174098558455	-0.640745155473096	0.243700253004481	-1.64047616427276	0.697639941381906	0.719263291987384	0.428392155941981	-0.616995203248952	0.294087242873609	1.94894797286326	0.728126810403645	0.452766390782512	2.03526814656061	0.223609176319623	-0.554760104236176	1.28014681531705	-0.179934553582105	-0.664360006926137	-0.0542578744859159	0.174613386203141
K00014	0.722400602449033	-0.253346936152889	-1.11422209269527	-1.04725705828224	0.436004327768733	-2.34458268140885	0.332875847029184	0.41680071416756	1.29704724150564	0.548089605815913	0.41580421903938	1.0133275457316	1.31352292141515	1.10452363107792	0.928724844024602	0.569153037708783	0.931637471350858	0.873839296834842	-0.105830244500074	-0.71795340406664	-0.0694084215135038	0.219749241877885
K00016	-0.522300902258304	0.151167913033054	0.173889295988054	-0.297168962617261	-0.514650760059903	-1.36955874865386	-0.475154043031241	0.181537485751117	1.36169241267111	0.475412947185542	-0.330942253974975	-1.63385456124014	-0.113803914276778	-0.500355167049252	0.310087282226507	-0.30037805731914	1.04596919361038	0.975276448266879	-1.09594431497518	-0.312620004293996	-0.022170071598953	0.182588249255509
K00018	2.44088261996612	1.01508669431357	-1.1928937268925	-0.643984787125928	0.345719384188106	-2.13723925953242	2.66655528466651	2.17205987039467	0.134242935952204	-0.565110909692739	0.65725530365318	1.19153959235483	0.9846364124735	-0.353617129582249	2.74100025372309	0.139606860321546	0.234909897479246	1.62610564424314	-0.466429047066602	-0.349493702528554	-0.0852067518205106	0.112755328227372
K00020	0.880910929788205	-1.04237243656964	0.653945343427629	-1.09465014185463	-0.29388899712796	0.214288178035289	0.356935321497415	2.09964928689858	-1.43920649689768	-0.388900655261968	0.827026498111188	0.700979775994359	1.1728186472376	1.42574593637577	-0.134673517181452	0.562241640728498	-0.50369282644706	1.30121586515225	1.53580898813542	0.169889012696665	0.0146650028257906	-0.12438562531343
K00024	2.02255218898163	0.909676118446873	-1.27800719267848	-0.95632778849159	1.1702565422005	-2.21637151842448	2.25570261399696	1.55006156030556	1.80390106039907	0.147889477260615	0.474123668464124	0.787145919411718	2.35862861713964	-0.0676549353779189	1.3854937143783	0.578531590145612	2.05240160766525	0.735542156236545	-0.305766992051038	-0.373416026709157	-0.123651092049545	0.208758503009171
